bid_date,constraints ,DA_mvalue,RT_mvalue,location,physical_condition,outage_name,start_date,end_date,wind,load,reserve_zone,today's wind,opportunity
6/9/2026,xfmrnowst1-nowst1,-5358.0,-2621.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/8/2026
6/9/2026,xfmrover-over,0.0,-2675.0,,,,,,,,,,6/7/2026
6/9/2026,lnnorfk_n-norfolk,0.0,-2586.0,,,,,,,,,,new
6/9/2026,lnrussett-sbrown,-3076.0,-558.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/8/2026
6/9/2026,lncorntp4-naples1,-2398.0,0.0,South OKGE,high wind driven,"Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,2026-06-12 16:00,high,,"3,4",,6/2/2026
6/9/2026,lnn345-blackbry,0.0,-2117.0,,,,,,,,,,new
6/9/2026,lnweav-tallgras,-1994.0,0.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit, high wind and load at 4","East Eureka - Vaughn 115 kV, +12MW ",2026-05-31 2:17,2026-06-05 16:00,high,,4,,6/8/2026
6/9/2026,lnosage_og-webbtap4,-2449.0,-463.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/8/2026
6/9/2026,xfmrftsmth-ftsmth,-1949.0,0.0,"Fort Smith, AK ","500kv, high wind at 4 RT 35%, low load at 2. ",,,,extra high,,4,,new
6/9/2026,lnraun-tekamho,-1922.0,-102.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/7/2026
6/9/2026,xfmrchambers-chambers,0.0,-1535.0,,,,,,,,,,new
6/9/2026,lntekamho-sub1226,-1575.0,-82.0,,,,,,,,,,6/7/2026
6/9/2026,lncartr2-cksaw1,-1465.0,-20.0,,,,,,,,,,new
6/9/2026,xfmrsub1214-sub1214,-1430.0,0.0,North Lincoln,100mw,,,,,,,,new
6/9/2026,lngord-maiz,-1666.0,-313.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 ",2026-05-26 7:32,2026-06-05 15:00,high,,4,,6/4/2026
6/9/2026,lndovrt-turcrk2,0.0,-1324.0,South AK,,,,,,,,,6/8/2026
6/9/2026,lnommarlo4-rsh_sprg_rev23,-1312.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/8/2026
6/9/2026,lntulsa_no-46_st_tp,0.0,-1309.0,,,,,,,,,,new
6/9/2026,lnpenn1-sntfe,-1216.0,-38.0,,,,,,,,,,new
6/9/2026,lnsshreve-wallace3,0.0,-1156.0,,,,,,,,,,6/8/2026
6/9/2026,lnjay_hawk-frankln5,-1138.0,-59.0,,,,,,,,,,new
6/9/2026,lnwardwa-bismark2_rev23,-916.0,0.0,,,,,,,,,,new
6/9/2026,lnwashit1-sw_sta,-1505.0,-991.0,"North Lawton, W-E","353kv, outage driven ","Gracemont - Anadarko 138kV, +69%",2026-06-01 10:09,2026-06-30 16:00,,,,,6/8/2026
6/9/2026,xfmrduncan-duncan,-5360.0,-5813.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/8/2026
6/9/2026,lndawsonc-lewiswp,-1118.0,-929.0,,,,,,,,,,new
6/10/2026,lndovrt-turcrk2,0.0,-8823.0,South AK,,,,,,,,"1: ow: 14, fw: 41, ol: 100, fl: 96
2: ow: 27, fw: 71, ol: 100, fl: 100
3: ow: 69, fw: 93, ol: 100, fl: 100
4: ow: 80, fw: 71, ol: 96, fl: 98
5: ow: 17, fw: 77, ol: 96, fl: 69",6/9/2026
6/10/2026,lnfirstcrk-roanrdge,-2281.0,-10721.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,,4,,6/9/2026
6/10/2026,lnadams_i-bvr_crk,0.0,-5767.0,,,,,,,,,,new
6/10/2026,lnlenexa-shwnmsn5,-9498.0,-14144.0,Kansas City,high wind plus outage driven,"Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-11 16:00,high,,4,,6/9/2026
6/10/2026,lnquail-skyln,-5061.0,-684.0,North OKC,"high wind, DA binds when wind's high, RT occasionally binds. ","Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,2026-06-12 16:00,high,,4,,6/9/2026
6/10/2026,xfmrreno-reno,-620.0,-4461.0,,,,,,,,,,new
6/10/2026,lneeur-vaug_rev23,-3500.0,0.0,"West of Kansa, near Wichita ","81 kv, only DA happens for now ",,,,,,,,6/7/2026
6/10/2026,lnrussett-sbrown,-3806.0,-558.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/9/2026
6/10/2026,lnlar3821-sprgfld,0.0,-3195.0,To Springfield SPRM,"218kv, high load driven, mid-high wind at 4 ",,,,mid-high,,,,6/9/2026
6/10/2026,xfmrsiouxcy-siouxcy,-2490.0,0.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/9/2026
6/10/2026,lnpecan1-agncy1,0.0,-2111.0,,,,,,,,,,new
6/10/2026,lnosage_og-webbtap4,-2065.0,-22.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/9/2026
6/10/2026,xfmrlex1611-lex1611,-1907.0,0.0,,,,,,,,,,new
6/10/2026,lnthree-chloc,0.0,-1829.0,,,,,,,,,,new
6/10/2026,lnaur1241-rdspg5,-1453.0,0.0,"AURORA, SPRM ","load mid-high at SPRM and wind mid-high, outage driven most",Beaver SPA - Eureka Springs 161 kV,2026-09-25 8:00,2026-12-14 17:00,mid-high,,4,,6/4/2026
6/10/2026,xfmrover-over,0.0,-1215.0,,,,,,,,,,6/9/2026
6/10/2026,lnommarlo4-rsh_sprg_rev23,-1202.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/9/2026
6/10/2026,lnmryvl_sj-midway5,0.0,-1062.0,,,,,,,,,,new
6/10/2026,lnftthomp-ftrandl,-1042.0,0.0,Middle SD,high wind at 5,,,,high,,,,new
6/10/2026,lnctnwd1-pine,-1034.0,-9.0,"Norht OKC, S-N","194kv, high wind at 2 ","Morrison - Sooner 138 kV, +60kv",2026-05-07 12:30,2026-06-30 13:00,mid-high,,2,,6/9/2026
6/10/2026,lnwashit1-sw_sta,-1463.0,-559.0,"North Lawton, W-E","353kv, outage driven ","Gracemont - Anadarko 138kV, +69%",2026-06-01 10:09,2026-06-30 16:00,,,,,6/9/2026
6/10/2026,xfmrw_gardnr-w_gardnr,-491.0,-1253.0,,,,,,,,,,new
6/10/2026,lndawsonc-lewiswp,-873.0,-1416.0,,,,,,,,,,6/9/2026
6/10/2026,lnmaud_tap-earlsbrh,-4868.0,-5317.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,,4,,6/9/2026
6/10/2026,xfmrduncan-duncan,-6262.0,-6221.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/9/2026
6/10/2026,xfmrnowst1-nowst1,-2164.0,-2165.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/9/2026
6/11/2026,lndovrt-turcrk2,0.0,-6241.0,South AK,,,,,,,,"1: ow: 96, fw: 50, ol: 58, fl: 93
2: ow: 96, fw: 90, ol: 62, fl: 93
3: ow: 70, fw: 96, ol: 96, fl: 100
4: ow: 80, fw: 95, ol: 96, fl: 98
5: ow: 93, fw: 50, ol: 71, fl: 80",6/10/2026
6/11/2026,lnclevlnd7-clev_aec,0.0,-4034.0,,,,,,,,,,new
6/11/2026,xfmrnowst1-nowst1,-4615.0,-1703.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/10/2026
6/11/2026,lnstilwell-redel5,-1600.0,-4489.0,South Kansas,"binds in very high wind DA 50%, RT 20%, no obvious outage",,,,high,,4,,6/8/2026
6/11/2026,lnmaud_tap-earlsbrh,-2383.0,-177.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,,4,,6/10/2026
6/11/2026,xfmrsiouxcy-siouxcy,-2966.0,-819.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/10/2026
6/11/2026,lnmonett-aur1241,0.0,-2119.0,SPRM,"high wind and high load, DA binds at high wind 40%",,,,mid-high,,4,,6/5/2026
6/11/2026,lnfirstcrk-roanrdge,-3590.0,-1492.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,,4,,6/10/2026
6/11/2026,lnquail-skyln,-532.0,-2035.0,North OKC,"high wind, DA binds when wind's high, RT occasionally binds. ","Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,2026-06-12 16:00,high,,4,,6/10/2026
6/11/2026,lnmulgre2-ellswtp3,-539.0,-2008.0,"Middle Kansas St, South-N","101kv, DA 12% high wind at 2, RT high wind at 2 ",,,,high,,2,,6/7/2026
6/11/2026,lnrussett-sbrown,-2710.0,-1331.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/10/2026
6/11/2026,lnboman-omkingf,-1304.0,0.0,,,,,,,,,,new
6/11/2026,lnommarlo4-rsh_sprg_rev23,-1210.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/10/2026
6/11/2026,lnpike-cyrene_t,0.0,-1168.0,,,,,,,,,,new
6/11/2026,lnlenexa-shwnmsn5,-1374.0,-220.0,Kansas City,high wind plus outage driven,"Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-11 16:00,high,,4,,6/10/2026
6/11/2026,lntekamho-sub1226,0.0,-1085.0,,,,,,,,,,6/9/2026
6/11/2026,lnn345-blackbry,0.0,-1074.0,,,,,,,,,,6/9/2026
6/11/2026,lnsugr_crk-sub_f_rev23,-998.0,0.0,Kansas City,"67MW, wind driven, short term ",,,,high,,4,,6/6/2026
6/11/2026,lnsanssu-driver,0.0,-993.0,,,,,,,,,,new
6/11/2026,xfmrsibley-sibley,-969.0,0.0,"To Kansas City, E-W",440kv,,,,,,,,6/9/2026
6/11/2026,lnosage_og-webbtap4,-1961.0,-1001.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/10/2026
6/11/2026,xfmrduncan-duncan,-4969.0,-5925.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/10/2026
6/11/2026,lnsw_sta-anadarko,-707.0,-1598.0,"South West OKC, North Lawton","outage driven, high wind at 3 ","353kv, Gracemont - Anadarko 138kV, +60kv",2026-06-01 10:09,2026-06-30 16:00,high,,3,,6/8/2026
6/11/2026,lnraun-tekamho,-999.0,-112.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/9/2026
6/11/2026,lnlar3821-sprgfld,-1660.0,-957.0,To Springfield SPRM,"218kv, high load driven, mid-high wind at 4 ",,,,mid-high,,,,6/10/2026
6/11/2026,lnwr_smkhl-summ,-300.0,-917.0,,,,,,,,,,new
6/11/2026,lngord-maiz,-1807.0,-1289.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 ",2026-05-26 7:32,2026-06-05 15:00,high,,4,,6/9/2026
6/12/2026,xfmrduncan-duncan,-3140.0,-14356.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,"1: ow: 61, fw: 40, ol: 58, fl: 46
2: ow: 69, fw: 21, ol: 77, fl: 77
3: ow: 72, fw: 51, ol: 58, fl: 41
4: ow: 27, fw: 30, ol: 80, fl: 87
5: ow: 59, fw: 41, ol: 58, fl: 53",6/11/2026
6/12/2026,lnpaoli2-lexngt2_rev23,-3154.0,0.0,South OKGE,"high wind from reserve zone 3,4 ","Johnston County - Sunnyside 345kV, 6/2/2026, +20 MW",1/9,2026-06-12 16:00,high,,"3,4",,5/29/2026
6/12/2026,xfmrsiouxcy-siouxcy,-3557.0,-564.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/11/2026
6/12/2026,lnfirstcrk-roanrdge,-1780.0,0.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/16,high,,4,,6/11/2026
6/12/2026,ln70_bluf-sub1214,-1537.0,0.0,Right at Lincoln OPPD,high wind driven,S3455 - S3740 345 kV,10/23,12/18,high,,4,,6/2/2026
6/12/2026,lnbrookngs-aurorawa,-414.0,-1544.0,,,,,,,,,,new
6/12/2026,lnboman-omkingf,-1116.0,0.0,"North OKC, E-W",20kv,,,,,,,,6/11/2026
6/12/2026,lndovrt-turcrk2,0.0,-994.0,South AK,,,,,,,,,6/11/2026
6/12/2026,lnbeaver1-eurk_spa,-319.0,-1080.0,,,,,,,,,,new
6/12/2026,lngord-maiz,-1431.0,-686.0,"Wichita, Kansas ",high wind plus small outage,"Walters City (OMPA) - Walters Junction 69 kV, +10 MW",2026-05-26 7:32,2026-06-05 15:00,mid,,4,,6/11/2026
6/13/2026,lngord-maiz,-7636.0,-2312.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ","Walters City (OMPA) - Walters Junction 69 kV, +10 MW",2026-05-26 7:32,2026-06-05 15:00,mid,,4,"1: ow: 90, fw: 71, ol: 29, fl: 50
2: ow: 75, fw: 79, ol: 45, fl: 46
3: ow: 67, fw: 54, ol: 75, fl: 85
4: ow: 75, fw: 61, ol: 77, fl: 79
5: ow: 96, fw: 66, ol: 33, fl: 30""",6/12/2026
6/13/2026,lnclevlnd7-clev_aec,-4224.0,-249.0,"North OKC, E-W","408MW, extreme high wind and high load driven, high wind DA RT 30% load same","Morrison - Sooner 138 kV, + 40 MW",2026-05-07 8:58:56,2026-06-30 13:00,high,,4,,6/11/2026
6/13/2026,lncorntp4-naples1,-1450.0,-4651.0,South OKGE,high wind driven,"Minco - Norman Hills 345kV Line, flow+66mw, 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00+00:00,high,,"3,4",,6/9/2026
6/13/2026,lnrussett-sbrown,-2670.0,-5597.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/11/2026
6/13/2026,lntekamho-sub1226,0.0,-2390.0,,,,,,,,,,6/11/2026
6/13/2026,xfmrsiouxcy-siouxcy,-4978.0,-2811.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/12/2026
6/13/2026,lnlenexa-shwnmsn5,-2110.0,0.0,Kansas City,"300kv, high wind plus outage driven","Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-17 16:00,high,,4,,6/11/2026
6/13/2026,xfmrduncan-duncan,-6947.0,-5215.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/12/2026
6/13/2026,lnmonett-aur1241,-1671.0,0.0,SPRM,"high wind and high load, DA binds at high wind 40%",,,,mid-high,,4,,6/11/2026
6/13/2026,lnbeaver1-eurk_spa,0.0,-1481.0,,,,,,,,,,6/12/2026
6/13/2026,lnosage_og-webbtap4,-1154.0,-15.0,"North Texas, near Tulsa",hgih wind driven,"Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/11/2026
6/13/2026,xfmrcimarron-cimarron,-1126.0,-32.0,"West OKC, N-S ","478kv, DA 50% high load, RT 20% high load, RT 7% high wind, DA 20% high wind ",,,,high,high,2,,new
6/13/2026,lnbuln-kel,-974.0,0.0,,,,,,,,,,new
6/13/2026,lnfirstcrk-roanrdge,-1370.0,-638.0,Near Kansa City,"RT binds more in 13-14, 22-24, DA binds more on 13-21","Hallmark MPS - Liberty West 161 kV, 5/19-6-16, +31 MW",5/19,6/12,high,,4,,6/12/2026
6/13/2026,lndovrt-turcrk2,-3065.0,-2349.0,South AK,,,,,,,,,6/12/2026
6/13/2026,lnwashit1-sw_sta,-788.0,-1077.0,"North Lawton, W-E","353kv, outage driven ","Gracemont - Anadarko 138kV, +69%",2026-06-01 10:09,2026-06-30 16:00,,,2,,6/10/2026
6/14/2026,xfmrduncan-duncan,-4567.0,-754.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,"1: ow: 24, fw: 62, ol: 9, fl: 24
2: ow: 9, fw: 69, ol: 3, fl: 11
3: ow: 61, fw: 29, ol: 9, fl: 40
4: ow: 53, fw: 58, ol: 19, fl: 61
5: ow: 24, fw: 12, ol: 16, fl: 32
21: ow: 3, fw: 1, ol: 69, fl: 83",6/13/2026
6/14/2026,lnbeaver1-eurk_spa,0.0,-2614.0,,,,,,,,,,6/13/2026
6/14/2026,lngord-maiz,-2256.0,-235.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ","Walters City (OMPA) - Walters Junction 69 kV, +10 MW",2026-05-26 7:32,2026-06-05 15:00,mid,,4,,6/13/2026
6/14/2026,lndovrt-turcrk2,-32.0,-2028.0,South AK,,,,,,,,,6/13/2026
6/14/2026,lnlar3821-sprgfld,-1025.0,0.0,To Springfield SPRM,"218kv, high load driven, mid-high wind at 4 ",,,,mid-high,,,,6/11/2026
6/14/2026,lnrussett-sbrown,-951.0,-808.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/13/2026
6/15/2026,lnpenn_tap-devilsl,-3116.0,0.0,,,,,,,,,"1: ow: 30, fw: 4, ol: 30, fl: 14
2: ow: 16, fw: 3, ol: 38, fl: 9
3: ow: 6, fw: 3, ol: 43, fl: 3
4: ow: 3, fw: 3, ol: 25, fl: 25
5: ow: 71, fw: 12, ol: 50, fl: 24",new
6/15/2026,xfmrsiouxcy-siouxcy,-1685.0,0.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/13/2026
6/15/2026,lnbuln-kel,-1408.0,-130.0,,,,,,,,,,6/13/2026
6/15/2026,xfmrseminole-seminole,0.0,-1257.0,South OKC,high load and high wind driven,Seminole OKGE 345/138 kV XFMR #2,2026-05-27 9:00,2026-06-18 15:30,high,,4,,6/1/2026
6/15/2026,xfmrduncan-duncan,-1149.0,0.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/14/2026
6/15/2026,lnsnrpmpt4-osage_og,0.0,-964.0,"North OKGE, near Tulsa","RT binds more during hour11-14, 18-22","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,,,4,,5/29/2026
6/15/2026,lnlaurelss-jasper2,0.0,-922.0,,,,,,,,,,new
6/16/2026,xfmrftsmth-ftsmth,0.0,-3139.0,"Fort Smith, AK ","500kv, high wind at 4 RT 35%, low load at 2. ",,,,extra high,,4,"1: ow: 12, fw: 35, ol: 51, fl: 46
2: ow: 17, fw: 46, ol: 80, fl: 58
3: ow: 35, fw: 29, ol: 71, fl: 53
4: ow: 33, fw: 51, ol: 62, fl: 33
5: ow: 12, fw: 6, ol: 51, fl: 82",6/9/2026
6/16/2026,xfmrduncan-duncan,-2790.0,-1059.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Walters City (OMPA) - Walters Junction 69 kV, +7%",2026-06-10 8:00,2026-06-10 16:00,,,2,,6/15/2026
6/16/2026,lngord-maiz,-1448.0,0.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ","Walters City (OMPA) - Walters Junction 69 kV, +10 MW",2026-05-26 7:32,2026-06-05 15:00,mid,,4,,6/14/2026
6/16/2026,lnmahoney-oxy_bru,0.0,-1250.0,,,,,,,,,,new
6/16/2026,xfmrnowst1-nowst1,0.0,-911.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/11/2026
6/16/2026,ln70_bluf-sub1214,-579.0,-1386.0,Right at Lincoln OPPD,high wind driven,S3455 - S3740 345 kV,10/23,12/18,high,,4,,6/12/2026
6/16/2026,lndovrt-turcrk2,-835.0,-1642.0,South AK,,,,,,,,,6/14/2026
6/16/2026,lnosage_og-webbtap4,-346.0,-950.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/13/2026
6/16/2026,lnrussett-sbrown,-1320.0,-1302.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/14/2026
6/17/2026,lnsnrpmpt4-osage_og,-6164.0,0.0,"North OKGE, near Tulsa","RT binds more during hour11-14, 18-22","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,,,4,"1: ow: 100, fw: 95, ol: 87, fl: 69
2: ow: 51, fw: 96, ol: 93, fl: 90
3: ow: 50, fw: 100, ol: 100, fl: 87
4: ow: 83, fw: 96, ol: 90, fl: 83
5: ow: 87, fw: 77, ol: 48, fl: 70",6/15/2026
6/17/2026,lnlenexa-shwnmsn5,-5309.0,0.0,Kansas City,"300kv, high wind plus outage driven","Kenilworth - Reeder 161 kV, +47",2026-05-04 9:15,2026-06-18 16:00,high,,4,,6/13/2026
6/17/2026,lngord-maiz,-5127.0,-1272.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ",,,,mid,,4,,6/16/2026
6/17/2026,lnvinetap3-nhays,-72.0,-2901.0,Middle Kansas,"100kv, 50% high load DA, 14% RT high load, high wind in 2 ",,,,high,extra high,2,,6/5/2026
6/17/2026,lnmaud_tap-earlsbrh,0.0,-2803.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,,4,,6/11/2026
6/17/2026,lnommarlo4-rsh_sprg_rev23,-2759.0,0.0,"East Lawton, N-S","106kv, outage driven ","DNCNELDT - MRLOWTAP 138 kV, +16%",2026-06-02 14:00,2026-06-30 16:00,,,,,6/11/2026
6/17/2026,lndovrt-turcrk2,-2887.0,-165.0,South AK,,,,,,,,,6/16/2026
6/17/2026,lnmonett-aur1241,-2616.0,0.0,SPRM,"high wind and high load, DA binds at high wind 40%",,,,mid-high,,4,,6/13/2026
6/17/2026,lnsugr_crk-sub_h,0.0,-2461.0,W-E Kansas City,"52 kv, line rating drops, wind and ng driven ",,,,,,4,,6/8/2026
6/17/2026,lnfirstcrk-roanrdge,-4763.0,-7082.0,Near Kansa City,"300 kv, high wind driven",,,,high,,4,,6/13/2026
6/17/2026,lnhugopp4-valliant,-441.0,-2617.0,Border of OKC and Texas,"353 kv, Johnson ends + 56kv, rating drops ",Pittsburg 345 (PSO) - Valliant 345 345 kV + 32%,2026-06-15 6:00,2026-06-19 19:00,,,4,,new
6/17/2026,xfmrduncan-duncan,-3314.0,-1299.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,high,2,,6/16/2026
6/17/2026,xfmrnowst1-nowst1,-2239.0,-4139.0,OKC,high load plus mid high wind,,,,mid-high,,4,,6/16/2026
6/17/2026,xfmrwmpehv-wmpehv,0.0,-1700.0,,,,,,,,,,new
6/17/2026,xfmrsiouxcy-siouxcy,-2139.0,-580.0,Sioux City Nebraska,high wind driven,,,,high,,1,,6/15/2026
6/17/2026,lnrussett-sbrown,-3220.0,-1665.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/16/2026
6/17/2026,lnforman-formnwa,0.0,-1382.0,East of Bismark,"88kv, line drops, 25% high wind, all load ",,,,high,,5,,new
6/17/2026,xfmrsub975-sub975,0.0,-1344.0,South of Omaha,"low wind and high natural gas generation, high load at 1",,,,low,high,1,,6/8/2026
6/17/2026,lncrestonw-maxburg,0.0,-955.0,Middle OKC,,,,,,,,,new
6/17/2026,lnweav-tallgras,-319.0,-1211.0,"Wichita, Kansas ","binds in DA in two days only, flow not close to limit, high wind and load at 4",,,,high,,4,,6/9/2026
6/17/2026,lnosage_og-webbtap4,-4298.0,-3748.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/16/2026
6/17/2026,xfmrviola7-viola7,-739.0,-1177.0,,,,,,,,,,new
6/17/2026,lnraun-tekamho,-4325.0,-4411.0,Sioux City Nebraska,"217 kv, line drops, mid-high wind in 1, load mid-high in 1 ",,,,mid-high,,1,,6/11/2026
6/18/2026,lngord-maiz,-4388.0,-524.0,"Wichita, Kansas ","high wind plus small outage, middle wind, all load will happen ",,,,mid,,4,"1: ow: 17, fw: 58, ol: 38, fl: 82
2: ow: 62, fw: 80, ol: 51, fl: 87
3: ow: 96, fw: 58, ol: 83, fl: 98
4: ow: 64, fw: 58, ol: 50, fl: 90
5: ow: 12, fw: 14, ol: 38, fl: 54",6/17/2026
6/18/2026,lnmaud_tap-earlsbrh,-162.0,-2268.0,"West of OKC, near Norman",high wind plus outage for 138kv,Canadian River 345/138 kV Transformer,2026-04-17 8:56,2026-08-14 16:00,high,,4,,6/17/2026
6/18/2026,xfmrwmpehv-wmpehv,0.0,-2061.0,,,,,,,,,,6/17/2026
6/18/2026,lnmonett-aur1241,-2015.0,0.0,SPRM,"high wind and high load, DA binds at high wind 40%",,,,mid-high,,4,,6/17/2026
6/18/2026,lnosage_og-webbtap4,-1579.0,-3279.0,"North Texas, near Tulsa","180kv, high wind driven, Sooner XF 2026-06-19 17:00 end ","Morrison - Sooner 138 kV, 5/7-6/30, +42MW",5/7,6/30,high,,"3,4",,6/17/2026
6/18/2026,lnoliveck-swbennet,-32.0,-1122.0,,,,,,,,,,new
6/18/2026,lnrussett-sbrown,-1257.0,-2228.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4",,6/17/2026
6/18/2026,lnloneoak4-quail,-1024.0,-567.0,,,,,,,,,,new
6/18/2026,xfmrduncan-duncan,-3631.0,-3649.0,"South OKGE, Lawton ","high load driven, ng generation up, 64kv","Minco - Norman Hills 345kV Line, flow+9mw (constraint rating 72mw), 2026-06-01 8:00:00-2026-07-02 15:30:00+00:00",2026-06-01 8:00:00,2026-07-02 15:30:00,,,2,,6/17/2026
6/19/2026,lnrussett-sbrown,-156.0,-2337.0,South OKGE,"binds high wind, no obvious outage nearby ",,,,high,,"3,4","1: ow: 24, fw: 19, ol: 29, fl: 25
2: ow: 45, fw: 19, ol: 25, fl: 25
3: ow: 32, fw: 19, ol: 41, fl: 51
4: ow: 37, fw: 25, ol: 37, fl: 54
5: ow: 54, fw: 19, ol: 33, fl: 46",6/18/2026
